City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
103,Iquitos,PE,84.2,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
104,Lufkin,US,77.0,broken clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
105,Reconquista,AR,82.56,clear sky,-29.15,-59.65,Grand Hotel
106,Vanimo,PG,77.92,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
107,Hambantota,LK,77.13,overcast clouds,6.1241,81.1185,Bungalow 63
108,General Pico,AR,81.05,few clouds,-35.6566,-63.7568,Hotel Malargue
110,Isangel,VU,77.92,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
111,Eldorado,AR,77.88,overcast clouds,-26.4045,-54.6258,Hotel el Dorado
112,Balabac,PH,81.77,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
113,Sola,VU,80.29,light rain,-13.8833,167.55,Leumerus Bungalows
114,Turan,VN,75.2,few clouds,16.0678,108.2208,Sun River Hotel
115,Badvel,IN,80.8,clear sky,14.75,79.05,Venkatalakshuma five star tiffin centre
116,Tevaitoa,PF,81.7,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
117,Santa Isabel Rio Negro,BR,82.63,overcast clouds,-0.4139,-65.0192,Hotel GSA
118,Mozarlândia,BR,82.08,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
119,Kijang,ID,78.8,few clouds,0.9,104.6333,MESS KARYAWAN PT.MEITECH EKA BINTAN
120,Vao,NC,75.88,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
121,Imbituba,BR,77.0,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
122,Lorengau,PG,80.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
123,Pilar,PH,80.6,few clouds,14.66,120.5653,Crown Royale Hotel
124,Mananjary,MG,75.6,light rain,-21.2167,48.3333,Vahiny Lodge
125,Huarmey,PE,75.11,scattered clouds,-10.0681,-78.1522,Hotel Miramar
127,Floriano,BR,83.46,broken clouds,-6.7669,-43.0225,Hotel Maktub
128,Kahului,US,75.2,moderate rain,20.8947,-156.47,Maui Seaside Hotel
129,Avanigadda,IN,80.08,scattered clouds,16.0215,80.9181,AP Camping
130,Tank,PK,75.34,broken clouds,32.2217,70.3793,Halal algad south Waziristan agency
131,Sur,OM,84.52,clear sky,22.5667,59.5289,Sur Plaza Hotel
132,Mossamedes,AO,78.71,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
133,Mercedes,AR,78.01,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
134,Bull Savanna,JM,78.89,broken clouds,17.8868,-77.5902,Big Red's
135,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
136,Kalmunai,LK,78.57,overcast clouds,7.4167,81.8167,VS Villa
137,Sādri,IN,81.45,clear sky,25.1833,73.4333,Chandra Hill Resort
138,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
139,Makakilo City,US,75.2,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
140,Sompeta,IN,77.68,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
141,Ratnagiri,IN,77.27,clear sky,16.9833,73.3,Hotel Landmark
142,Mazagão,BR,82.4,moderate rain,-0.115,-51.2894,Recanto dos Ferreiras
143,Frutal,BR,83.61,overcast clouds,-20.0247,-48.9406,Hotel Recanto Dos Ipês
144,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
145,Vilcún,CL,75.2,clear sky,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
146,Kismayo,SO,82.09,overcast clouds,-0.3582,42.5454,Agan-Hotel
147,Ruwi,OM,84.2,clear sky,23.5996,58.5507,Al Falaj Hotel
148,Māchalpur,IN,82.92,clear sky,24.1333,76.3,New Trimurti Bhojnalaya
149,Iporá,BR,79.29,light rain,-16.4419,-51.1178,Oásis Motel
150,Tarauacá,BR,82.58,light rain,-8.1614,-70.7656,Flat Temporada
151,Aransas Pass,US,77.0,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
152,Poum,NC,78.85,broken clouds,-20.2333,164.0167,Gîte kajeon
153,Omboué,GA,78.91,light rain,-1.5746,9.2618,Hotel Olako
154,Malé,MV,84.2,few clouds,4.1748,73.5089,Hotel Octave Maldives
156,Sambava,MG,78.06,overcast clouds,-14.2667,50.1667,Melrose
157,Meulaboh,ID,76.51,overcast clouds,4.1363,96.1285,Kost Pria
159,Pundaguitan,PH,80.74,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
160,Ibateguara,BR,78.8,broken clouds,-8.9725,-35.9394,Auto Posto e Pousada TopLine
161,Abaeté,BR,77.74,overcast clouds,-19.16,-45.4458,Hotel Millenium
162,Harper,LR,79.57,light rain,4.375,-7.7169,Screensaver
163,Howard Springs,AU,75.2,broken clouds,-12.497,131.047,buffalo beach hostel
164,Tayu,ID,77.61,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
166,Jombang,ID,77.0,haze,-7.546,112.2331,Hotel Netral Jombang
167,Tabou,CI,79.7,broken clouds,4.423,-7.3528,hotêl doufoulougou
168,Topeka,US,82.99,clear sky,39.0483,-95.678,Capitol Plaza Hotel Topeka
169,Puerto Madryn,AR,83.34,few clouds,-42.7692,-65.0385,Hotel Tolosa
171,Auki,SB,81.36,overcast clouds,-8.7676,160.7034,Auki Motel
172,Comodoro Rivadavia,AR,82.4,clear sky,-45.8667,-67.5,Austral Hotel
173,Keti Bandar,PK,80.26,clear sky,24.1447,67.4497,Haji laloo memon house
174,Muli,MV,83.35,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
175,Ubari,LY,76.1,clear sky,26.5921,12.7805,فندق أوباري
176,Trivandrum,IN,82.4,mist,8.4833,76.9167,Hotel Residency Tower
177,Bolitoc,PH,77.58,clear sky,15.7395,119.8769,Seasun Beach Resort & Hotel
178,Nosy Varika,MG,76.06,few clouds,-20.5833,48.5333,Hotel Volazara
179,Malpe,IN,82.4,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
180,Carutapera,BR,77.11,overcast clouds,-1.195,-46.02,Lidera
181,Alugan,PH,81.16,overcast clouds,12.2188,125.4808,JM Lodge
183,Tonantins,BR,80.26,moderate rain,-2.8731,-67.8022,Hotel Rei Davi
184,Pemba,MZ,82.4,light rain,-12.974,40.5178,Guesthouse Samotina
185,Cockburn Town,TC,77.0,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
186,Pangai,TO,77.0,light rain,-19.8,-174.35,Ha'apai Beach Resort
187,Matara,LK,75.36,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
188,Boyolangu,ID,75.16,overcast clouds,-8.1181,111.8935,Yos ega cv
189,Bontang,ID,78.33,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
190,Eydhafushi,MV,83.89,scattered clouds,5.1033,73.0708,Soneva Fushi
