City_ID,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kahului,US,2021-03-30 05:58:57,20.8947,-156.47,73.4,88,40,9.22
68,Salalah,OM,2021-03-30 05:56:48,17.0151,54.0924,93.2,16,0,9.22
69,Avarua,CK,2021-03-30 05:57:56,-21.2078,-159.775,80.6,83,20,8.05
70,Watertown,US,2021-03-30 06:05:44,42.3709,-71.1828,39.0,64,1,4.07
71,Samarai,PG,2021-03-30 06:03:12,-10.6167,150.6667,84.18,71,82,9.98
72,Acapulco de Juárez,MX,2021-03-30 06:08:43,16.8634,-99.8901,76.59,72,42,3.65
73,Port Alfred,ZA,2021-03-30 05:57:55,-33.5906,26.891,69.4,77,33,17.72
74,Shenjiamen,CN,2021-03-30 06:08:14,29.9576,122.298,56.88,86,100,10.07
75,São Gabriel da Cachoeira,BR,2021-03-30 06:01:48,-0.1303,-67.0892,72.66,99,100,1.7
76,Hay River,CA,2021-03-30 06:08:44,60.8156,-115.7999,-9.4,70,37,1.14
77,Kruisfontein,ZA,2021-03-30 06:08:44,-34.0033,24.7314,67.93,61,7,6.17
78,Songea,TZ,2021-03-30 06:08:44,-10.6833,35.65,64.4,94,75,6.91
79,East London,ZA,2021-03-30 05:57:23,-33.0153,27.9116,68.0,83,0,9.22
80,Mt. Pleasant,US,2021-03-30 06:08:45,32.7941,-79.8626,54.0,100,1,8.59
81,Tazovsky,RU,2021-03-30 06:08:45,67.4667,78.7,-9.83,88,16,8.03
82,Tecklenburg,DE,2021-03-30 06:08:46,52.2167,7.8333,46.0,93,0,1.14
83,Tsalka,GE,2021-03-30 06:08:46,41.5946,44.0891,31.5,91,90,5.44
84,Sānchi,IN,2021-03-30 06:08:46,23.4833,77.7333,95.0,17,8,14.97
85,São Filipe,CV,2021-03-30 05:58:54,14.8961,-24.4956,68.02,76,34,9.53
86,Xining,CN,2021-03-30 06:08:47,36.6167,101.7667,55.4,33,91,21.5
87,Chokurdakh,RU,2021-03-30 06:00:54,70.6333,147.9167,3.07,95,85,4.47
88,Husavik,IS,2021-03-30 06:08:47,66.0449,-17.3389,12.2,85,0,3.44
89,Port Macquarie,AU,2021-03-30 06:08:48,-31.4333,152.9167,73.0,56,86,1.99
90,Lazurne,UA,2021-03-30 06:08:48,46.084,32.5295,41.0,93,0,11.18
91,Tuatapere,NZ,2021-03-30 06:08:48,-46.1333,167.6833,63.0,81,100,4.0
92,Khasan,RU,2021-03-30 06:08:49,42.4308,130.6434,51.82,52,53,10.11
93,Merauke,ID,2021-03-30 05:58:48,-8.4667,140.3333,83.73,72,98,6.51
