,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Sibolga,ID,1.7427,98.7792,76.12,88,55,2.08,broken clouds
69,Livingstone,ZM,-17.8419,25.8543,66.36,61,0,2.48,clear sky
70,Vila Velha,BR,-20.3297,-40.2925,80.6,69,40,12.66,scattered clouds
71,Cabo San Lucas,MX,22.8909,-109.9124,93.2,19,1,20.71,clear sky
72,Atuona,PF,-9.8,-139.0333,80.71,80,59,10.11,broken clouds
73,Iqaluit,CA,63.7506,-68.5145,10.4,79,20,3.44,few clouds
74,Brighton,US,43.1476,-77.5506,55.0,40,20,10.36,few clouds
75,Loreto,MX,22.2667,-101.9667,79.38,12,34,4.03,scattered clouds
76,Port Alfred,ZA,-33.5906,26.891,67.03,87,51,12.37,broken clouds
77,Yatou,CN,37.15,122.3833,42.08,51,2,5.21,clear sky
78,Warmbad,NA,-28.45,18.7333,78.08,28,0,9.19,clear sky
79,Provideniya,RU,64.3833,-173.3,5.0,61,0,4.47,clear sky
80,Cervo,ES,43.6702,-7.4101,53.01,80,15,4.0,few clouds
81,Nouadhibou,MR,20.931,-17.0347,66.2,77,100,18.41,overcast clouds
82,Barrow,US,71.2906,-156.7887,-5.8,71,1,14.97,clear sky
83,New Norfolk,AU,-42.7826,147.0587,54.0,68,55,3.0,broken clouds
84,Souillac,MU,-20.5167,57.5167,81.0,78,32,5.99,light rain
85,East London,ZA,-33.0153,27.9116,66.9,73,1,12.91,clear sky
86,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,75,13.8,broken clouds
87,Faanui,PF,-16.4833,-151.75,82.08,75,20,9.91,few clouds
88,Chilca,PE,-12.5211,-76.7372,80.6,54,0,8.05,clear sky
89,Mount Isa,AU,-20.7333,139.5,69.8,73,40,8.34,scattered clouds
90,São João da Barra,BR,-21.6403,-41.0511,80.6,65,20,13.8,few clouds
91,Tra Vinh,VN,9.9347,106.3453,80.37,76,99,9.8,overcast clouds
92,Katsuura,JP,35.1333,140.3,66.2,94,75,5.75,light rain
93,Kapaa,US,22.0752,-159.319,75.2,60,75,14.97,broken clouds
94,Lavrentiya,RU,65.5833,-171.0,-0.96,77,30,7.85,scattered clouds
95,Butaritari,KI,3.0707,172.7902,82.06,79,94,16.17,overcast clouds
96,Sinnamary,GF,5.3833,-52.95,78.28,86,99,9.24,overcast clouds
97,Vysha,RU,53.8477,42.3777,27.91,97,12,2.77,few clouds
98,Narsaq,GL,60.9167,-46.05,41.0,75,75,6.91,broken clouds
99,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,78.03,94,100,2.21,moderate rain
100,Hasaki,JP,35.7333,140.8333,60.8,100,75,4.61,moderate rain
101,Skibbereen,IE,51.55,-9.2667,44.6,76,75,17.27,broken clouds
102,Hithadhoo,MV,-0.6,73.0833,83.3,73,92,18.03,overcast clouds
103,Clyde River,CA,70.4692,-68.5914,-9.4,77,1,6.91,clear sky
104,Barcelos,BR,-0.9747,-62.9242,83.88,71,59,3.78,broken clouds
105,Deniliquin,AU,-35.5333,144.9667,57.0,83,0,6.73,clear sky
106,Mehamn,NO,71.0357,27.8492,33.04,97,100,5.84,light snow
107,Belmonte,BR,-15.8631,-38.8828,82.4,83,40,8.05,scattered clouds
108,Jalu,LY,29.0331,21.5482,72.59,10,0,11.45,clear sky
109,Shelburne,CA,44.0787,-80.2041,57.2,30,1,10.36,clear sky
110,Castro,CL,-42.4721,-73.7732,64.99,59,0,11.5,clear sky
111,Severo-Kuril'sk,RU,50.6789,156.125,29.01,85,92,14.23,overcast clouds
112,Bilibino,RU,68.0546,166.4372,-9.38,94,40,1.77,scattered clouds
113,Kelvington,CA,52.1667,-103.5343,57.2,28,100,25.32,overcast clouds
114,Padang,ID,-0.9492,100.3543,73.4,94,90,2.3,overcast clouds
115,Maceió,BR,-9.6658,-35.7353,78.8,89,75,6.91,broken clouds
116,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,25.61,81,99,1.34,overcast clouds
117,Xique-Xique,BR,-10.8218,-42.7263,83.46,44,5,1.1,clear sky
118,Ahipara,NZ,-35.1667,173.1667,65.07,72,95,4.41,overcast clouds
119,Santiago,BR,-29.1917,-54.8672,75.65,63,100,2.26,overcast clouds
120,San Patricio,MX,19.2167,-104.7,82.4,78,40,11.5,scattered clouds
121,Porto Novo,CV,17.0197,-25.0647,73.4,73,20,29.93,few clouds
122,Tasiilaq,GL,65.6145,-37.6368,21.2,86,90,14.97,snow
123,Burlington,US,39.8835,-74.6413,66.99,25,1,10.36,clear sky
124,Bluff,NZ,-46.6,168.3333,54.0,84,89,20.0,overcast clouds
125,Klaksvík,FO,62.2266,-6.589,24.8,54,75,33.38,light rain
126,Upernavik,GL,72.7868,-56.1549,-10.59,87,32,12.44,scattered clouds
127,Springfield,US,37.2153,-93.2982,75.99,43,1,8.05,clear sky
128,Windsor,CA,42.3001,-83.0165,66.0,31,1,8.05,clear sky
129,Belyy Yar,RU,53.6039,91.3903,24.8,86,18,2.24,few clouds
130,Strezhevoy,RU,60.7333,77.5889,37.4,65,0,8.95,clear sky
131,Tazovsky,RU,67.4667,78.7,30.22,98,100,8.52,light snow
132,Mar del Plata,AR,-38.0023,-57.5575,73.99,78,40,18.41,scattered clouds
133,Lábrea,BR,-7.2586,-64.7981,77.07,95,99,3.76,overcast clouds
